delta,S,regime,n_zero_crossings,v_star
0.06999999999999999,116,all_action,0,NA
0.06999999999999999,118,all_action,0,NA
0.06999999999999999,120,all_action,0,NA
0.06999999999999999,122,all_action,0,NA
0.06999999999999999,124,all_action,0,NA
0.06999999999999999,126,all_action,0,NA
0.06999999999999999,128,all_action,0,NA
0.06999999999999999,130,all_action,0,NA
0.06999999999999999,132,all_action,0,NA
0.06999999999999999,134,all_action,0,NA
0.06999999999999999,136,all_action,0,NA
0.06999999999999999,138,all_action,0,NA
0.06999999999999999,140,all_action,0,NA
0.06999999999999999,142,all_action,0,NA
0.06999999999999999,144,all_action,0,NA
0.06999999999999999,146,all_action,0,NA
0.06999999999999999,148,all_action,0,NA
0.06999999999999999,150,all_action,0,NA
0.06999999999999999,152,all_action,0,NA
0.06999999999999999,154,all_action,0,NA
0.06999999999999999,156,all_action,0,NA
0.06999999999999999,158,all_action,0,NA
0.06999999999999999,160,all_action,0,NA
0.06999999999999999,162,all_action,0,NA
0.06999999999999999,164,all_action,0,NA
0.06999999999999999,166,all_action,0,NA
0.06999999999999999,168,all_action,0,NA
0.06999999999999999,170,all_action,0,NA
0.06999999999999999,172,all_action,0,NA
0.06999999999999999,174,all_action,0,NA
0.06999999999999999,176,all_action,0,NA
0.06999999999999999,178,all_action,0,NA
0.06999999999999999,180,all_action,0,NA
0.06999999999999999,182,all_action,0,NA
0.06999999999999999,184,all_action,0,NA
0.06999999999999999,186,all_action,0,NA
0.06999999999999999,188,all_action,0,NA
0.06999999999999999,190,all_action,0,NA
0.06999999999999999,192,all_action,0,NA
0.06999999999999999,194,all_action,0,NA
0.06999999999999999,196,all_action,0,NA
0.06999999999999999,198,all_action,0,NA
0.06999999999999999,200,all_action,0,NA
0.08,2,all_action,0,NA
0.08,4,all_action,0,NA
0.08,6,all_action,0,NA
0.08,8,all_action,0,NA
0.08,10,all_action,0,NA
0.08,12,all_action,0,NA
0.08,14,all_action,0,NA
0.08,16,all_action,0,NA
0.08,18,all_action,0,NA
0.08,20,all_action,0,NA
0.08,22,all_action,0,NA
0.08,24,all_action,0,NA
0.08,26,all_action,0,NA
0.08,28,all_action,0,NA
0.08,30,all_action,0,NA
0.08,32,all_action,0,NA
0.08,34,all_action,0,NA
0.08,36,all_action,0,NA
0.08,38,all_action,0,NA
0.08,40,all_action,0,NA
0.08,42,all_action,0,NA
0.08,44,all_action,0,NA
0.08,46,all_action,0,NA
0.08,48,all_action,0,NA
0.08,50,all_action,0,NA
0.08,52,all_action,0,NA
0.08,54,all_action,0,NA
0.08,56,all_action,0,NA
0.08,58,all_action,0,NA
0.08,60,all_action,0,NA
0.08,62,all_action,0,NA
0.08,64,all_action,0,NA
0.08,66,all_action,0,NA
0.08,68,all_action,0,NA
0.08,70,all_action,0,NA
0.08,72,all_action,0,NA
0.08,74,all_action,0,NA
0.08,76,all_action,0,NA
0.08,78,all_action,0,NA
0.08,80,all_action,0,NA
0.08,82,all_action,0,NA
0.08,84,all_action,0,NA
0.08,86,all_action,0,NA
0.08,88,all_action,0,NA
0.08,90,all_action,0,NA
0.08,92,all_action,0,NA
0.08,94,all_action,0,NA
